country name,postcode,
UK,OL1,"""OL1"","
UK,OL10,"""OL10"","
UK,OL11,"""OL11"","
UK,OL12,"""OL12"","
UK,OL13,"""OL13"","
UK,OL14,"""OL14"","
UK,OL15,"""OL15"","
UK,OL16,"""OL16"","
UK,OL2,"""OL2"","
UK,OL3,"""OL3"","
UK,OL4,"""OL4"","
UK,OL5,"""OL5"","
UK,OL6,"""OL6"","
UK,OL7,"""OL7"","
UK,OL8,"""OL8"","
UK,OL9,"""OL9"","
UK,OL95,"""OL95"","
UK,PR0,"""PR0"","
UK,PR1,"""PR1"","
UK,PR11,"""PR11"","
UK,PR2,"""PR2"","
UK,PR25,"""PR25"","
UK,PR26,"""PR26"","
UK,PR3,"""PR3"","
UK,PR4,"""PR4"","
UK,PR5,"""PR5"","
UK,PR6,"""PR6"","
UK,PR7,"""PR7"","
UK,PR8,"""PR8"","
UK,PR9,"""PR9"","
UK,SK1,"""SK1"","
UK,SK10,"""SK10"","
UK,SK11,"""SK11"","
UK,SK12,"""SK12"","
UK,SK13,"""SK13"","
UK,SK14,"""SK14"","
UK,SK15,"""SK15"","
UK,SK16,"""SK16"","
UK,SK17,"""SK17"","
UK,SK2,"""SK2"","
UK,SK22,"""SK22"","
UK,SK23,"""SK23"","
UK,SK3,"""SK3"","
UK,SK4,"""SK4"","
UK,SK5,"""SK5"","
UK,SK6,"""SK6"","
UK,SK7,"""SK7"","
UK,SK8,"""SK8"","
UK,SK9,"""SK9"","
UK,WA1,"""WA1"","
UK,WA10,"""WA10"","
UK,WA11,"""WA11"","
UK,WA12,"""WA12"","
UK,WA13,"""WA13"","
UK,WA14,"""WA14"","
UK,WA15,"""WA15"","
UK,WA16,"""WA16"","
UK,WA2,"""WA2"","
UK,WA3,"""WA3"","
UK,WA4,"""WA4"","
UK,WA5,"""WA5"","
UK,WA55,"""WA55"","
UK,WA6,"""WA6"","
UK,WA7,"""WA7"","
UK,WA8,"""WA8"","
UK,WA88,"""WA88"","
UK,WA9,"""WA9"","
